word,score
joyrider,3
joyriders,3
joyriding,3
joys,3
joystick,3
joysticks,3
keen,1
keener,1
keenest,1
keening,1
keenly,1
keenness,1
kidding,1
kill,-3
killed,-4
killer,-2
killing,-2
kind,2
kindly,2
kindness,2
kindnesses,2
kiss,3
kissed,3
kisser,3
kisses,3
kissing,3
lame,-3
lamed,-3
lamely,-3
lameness,-3
lament,-3
lamentable,-3
lamentably,-3
lamentation,-3
lamentations,-3
lamented,-3
lamenter,-3
lamenting,-3
laments,-3
lamest,-3
laugh,2
laughable,2
laughably,2
laughed,2
laugher,2
laughing,2
laughingly,2
laughs,2
laughter,2
lazier,-2
laziest,-2
lazy,-2
liabilities,-3
liability,-3
liar,-3
liars,-3
lied,-3
lies,-3
likeability,3
likeable,3
liked,3
likes,3
liking,3
livelier,2
liveliest,2
livelihood,2
livelihoods,2
liveliness,2
lively,2
lone,-2
lonelier,-2
loneliest,-2
loneliness,-2
lonely,-2
loner,-2
loners,-2
lonesome,-2
lonesomeness,-2
longing,-3
longingly,-3
longings,-3
lose,-2
loser,-3
losers,-3
loses,-2
losing,-3
loss,-3
losses,-3
lost,-1
louse,-3
lousiest,-3
lousily,-3
lousy,-3
love,4
loved,4
lovely,3
lover,4
lovers,4
loves,3
loving,4
low,-2
lower,-2
lowercase,-2
lowered,-2
lowering,-2
lowers,-2
lowest,-2
lowing,-2
lowish,-2
lowkey,-2
lowland,-2
lowlanders,-2
lowlands,-2
lowlier,-2
lowliest,-2
lowly,-2
lowlying,-2
lowness,-2
lowpitched,-2
lows,-2
lowspirited,-2
loyal,2
loyalist,2
loyalists,2
loyally,2
loyalties,2
loyalty,2
luck,3
luckier,3
luckiest,3
luckily,3
luckless,-3
lucky,2
ludicrous,-3
ludicrously,-3
ludicrousness,-3
lying,-4
mad,-2
maddening,-3
madder,-3
